奶茶店名称,地址,纬度,经度
书亦烧仙草(创业路店),建银商务公馆C幢3号房,30.498378,114.168378
书亦烧仙草(文兴路店),汉阳大街58号,30.589197,114.033077
书亦烧仙草(欧亚达店),二环线汉口火车站西侧天丰综合楼欧亚达国际广场负一层公元铭美食城A12档口,30.621028,114.260915
书亦烧仙草(汉阳玫瑰街店),十里玫瑰一期1栋11号门面,30.570163,114.229412
书亦烧仙草(龙城路店),民族大道888号锦绣龙城I区12栋1层16室,30.471636,114.390899
书亦烧仙草(径河广场店),十字西街21号,30.684115,114.169868
书亦烧仙草(国贸店),劲松巷12号取水楼小学旁20米,30.59938,114.276127
书亦烧仙草(海伦春天店),四新南路916号海伦春天1期1栋1单元1楼2号,30.538091,114.191015
书亦烧仙草(中百广场店),文化路37号中百广场一楼,30.370682,114.327657
书亦烧仙草(黄浦中百店),黄浦大街218号,30.623697,114.307542
书亦烧仙草(南湖店),文治街46号学府林居二期7-112号,30.510397,114.332405
书亦烧仙草(解放公园路店),育才高中门口,30.609471,114.306423
书亦烧仙草(美术学院店),栗庙南路栗庙新村D002号,30.39498,114.426146
书亦烧仙草(一食万巷店),湖北省武汉市江汉区大智街道江汉一路58号一食万巷美食综合体(01C06-1号),30.587403,114.297322
书亦烧仙草(新荣店),解放大道1号线新荣地铁站c出口（Today便利店隔壁）,30.662238,114.340748
书亦烧仙草(青山恩施路店),恩施街13附6-2号,30.62742,114.400084
书亦烧仙草(南大天地店),硚口路葛洲坝城市花园二期12栋单元1层49号,30.579792,114.258418
书亦烧仙草(梅南山居店),庙山产业园梅南山居商网35号一楼,30.42034,114.379385
书亦烧仙草(大华滨江天地店),旅大街21号大华滨江天地K3南三期12、13单元1-2层3商号,30.629663,114.371225
书亦烧仙草(洪山区关南店),高新二路关南工业园T6栋1楼108号,30.483022,114.441149
书亦烧仙草(国博新城店),秋礼街6号国博新城,30.514484,114.237257
书亦烧仙草(马湖店),洪山街道马湖新村广寰商贸楼1号楼1楼4号,30.480416,114.331623
书亦烧仙草(城投瀚城店),楚康路城投瀚城商铺40附13,30.506455,114.37667
书亦烧仙草(东西湖东山店),东山办事处街道东柏路284号,30.781531,114.027958
书亦烧仙草(循礼门大润发店),江汉路257号大润发超市1层1027号柜位,30.590465,114.29189
书亦烧仙草(武大工学部店),东湖南路武汉大学工学部十五舍负一楼,30.547816,114.372516
书亦烧仙草(盘龙城佳海店),盘龙城经济开发区盘龙城佳海环行路402号,30.73836,114.244258
书亦烧仙草(海林广场店),三秀路海林广场第壹层D-1004号店铺,30.629357,114.150497
